Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_446_length_2887_cov_3.986232	91.78844
NODE_447_length_2887_cov_3.477899	62.055897
NODE_448_length_2886_cov_1.098949	18.141903
NODE_449_length_2884_cov_5.194777	481.15558
NODE_450_length_2880_cov_1.872139	31.783554
NODE_451_length_2878_cov_1.088332	21.286266
NODE_452_length_2877_cov_1.310182	18.198656
NODE_453_length_2876_cov_2.212805	38.39146
NODE_454_length_2872_cov_92.040073	1284.8048
NODE_455_length_2871_cov_1.998542	98.99917
NODE_456_length_2871_cov_1.436953	34.48843
NODE_457_length_2871_cov_1.043367	34.364372
NODE_458_length_2870_cov_2.659497	482.75806
NODE_459_length_2870_cov_2.520233	54.23272
NODE_460_length_2870_cov_1.490704	21.84201
NODE_461_length_2869_cov_1.349015	24.332535
NODE_462_length_2868_cov_1.970814	29.92952
NODE_463_length_2868_cov_1.325429	23.844263
NODE_464_length_2867_cov_1.249270	35.28194
NODE_465_length_2866_cov_1.471340	66.48741
NODE_466_length_2861_cov_1.695684	19.047386
NODE_467_length_2860_cov_0.881083	9.838364
NODE_468_length_2856_cov_1.357274	32.050644
NODE_469_length_2856_cov_0.896299	14.591149
NODE_470_length_2854_cov_1.134213	18.84451
NODE_471_length_2847_cov_1.147059	31.151125
NODE_472_length_2846_cov_1.897757	49.183506
NODE_473_length_2844_cov_1.832536	27.051167
NODE_474_length_2844_cov_1.526316	23.544533
NODE_475_length_2842_cov_1.593738	19.300053
NODE_476_length_2841_cov_0.888725	13.790604
NODE_477_length_2838_cov_1.524530	27.35936
NODE_478_length_2836_cov_3.760428	52.245506
NODE_479_length_2836_cov_1.537099	18.964115
NODE_480_length_2835_cov_1.312408	27.63958
NODE_481_length_2834_cov_0.790543	8.671837
NODE_482_length_2833_cov_3.183666	88.760544
NODE_483_length_2833_cov_1.984848	167.21179
NODE_484_length_2832_cov_1.457301	24.273136
NODE_485_length_2824_cov_1.834260	110.736725
NODE_486_length_2815_cov_2.546503	83.38134
NODE_487_length_2812_cov_3.315456	79.16378
NODE_488_length_2812_cov_0.910615	15.326108
NODE_489_length_2810_cov_2.178159	58.939774
NODE_490_length_2806_cov_1.231430	13.4548855
NODE_491_length_2804_cov_1.467314	25.404684
NODE_492_length_2801_cov_2.561705	53.279816
NODE_493_length_2800_cov_1.197157	25.313774
NODE_494_length_2799_cov_1.926272	47.846123
NODE_495_length_2798_cov_0.990266	17.566824
NODE_496_length_2797_cov_2.153933	56.03018
NODE_497_length_2797_cov_1.905993	31.962673
NODE_498_length_2791_cov_1.234234	18.504187
NODE_499_length_2790_cov_2.998498	81.31995
NODE_500_length_2790_cov_1.057454	27.83006
NODE_501_length_2790_cov_1.024784	16.212925
NODE_502_length_2789_cov_2.535312	49.42245
NODE_503_length_2786_cov_2.747649	130.01744
NODE_504_length_2786_cov_1.420835	31.833183
NODE_505_length_2781_cov_0.842502	22.284868
